"Tue, 25/FEB, 07:45:48",137.36,41
"Tue, 25/FEB, 08:00:50",136.39,46
"Tue, 25/FEB, 08:15:47",138.5,54
"Tue, 25/FEB, 08:30:47",138.32,57
"Tue, 25/FEB, 08:45:47",138.65,45
"Tue, 25/FEB, 09:00:47",137.59,32
"Tue, 25/FEB, 09:15:47",136.75,27
"Tue, 25/FEB, 09:30:47",134.99,21
"Tue, 25/FEB, 09:45:48",134.8,24
"Tue, 25/FEB, 10:00:47",134.44,30
"Tue, 25/FEB, 10:15:47",133.34,25
"Tue, 25/FEB, 10:30:49",136.24,49
"Tue, 25/FEB, 10:45:47",136.58,62
"Tue, 25/FEB, 11:00:49",136.73,54
"Tue, 25/FEB, 11:15:47",135.8,35
"Tue, 25/FEB, 11:30:48",135.41,32
"Tue, 25/FEB, 11:45:47",138.29,55
"Tue, 25/FEB, 12:00:47",140.58,69
"Tue, 25/FEB, 12:15:47",140.45,69
"Tue, 25/FEB, 12:30:47",140.01,52
"Tue, 25/FEB, 12:45:48",139.56,37
"Tue, 25/FEB, 13:00:48",140.14,43
"Tue, 25/FEB, 13:15:47",139.54,44
"Tue, 25/FEB, 13:30:54",138.36,34
"Tue, 25/FEB, 13:45:48",138.28,35
"Tue, 25/FEB, 14:00:47",138.13,41
"Tue, 25/FEB, 14:15:47",139.47,51
"Tue, 25/FEB, 14:30:47",137.84,39
"Tue, 25/FEB, 14:45:47",136.97,29
"Tue, 25/FEB, 15:00:47",135.78,25
"Tue, 25/FEB, 15:15:47",136.32,29
"Tue, 25/FEB, 15:30:48",135.26,32
"Tue, 25/FEB, 15:45:47",138.77,57
"Tue, 25/FEB, 16:00:48",138.92,64
"Tue, 25/FEB, 16:15:47",140.01,66
"Tue, 25/FEB, 16:30:47",139.87,57
"Tue, 25/FEB, 16:45:48",143.96,71
"Tue, 25/FEB, 17:00:48",142.94,69
"Tue, 25/FEB, 17:15:47",143.78,60
"Tue, 25/FEB, 17:23:11",143.2,60
"Tue, 25/FEB, 17:30:47",144.37,64
"Tue, 25/FEB, 17:45:47",142.65,43
"Tue, 25/FEB, 18:00:47",142.29,38
"Tue, 25/FEB, 18:15:47",141.96,41
"Tue, 25/FEB, 18:30:47",140.33,30
"Tue, 25/FEB, 18:45:48",141.08,36
